原文	译文
恭喜你黄金梅丽号升至6星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 6 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至6星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 6 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至6星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 6 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至6星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 6 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至1星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 1 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至2星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 2 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至3星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 3 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至4星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 4 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至5星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 5 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至6星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 6 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至1星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 1 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至2星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 2 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至3星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 3 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至4星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 4 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至5星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 5 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至6星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 6 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你黄金梅丽号升至7星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 7 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至7星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 7 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至7星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 7 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至7星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 7 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至7星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 7 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至7星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 7 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你黄金梅丽号升至8星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 8 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至8星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 8 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至8星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 8 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至8星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 8 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至8星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 8 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至8星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 8 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你黄金梅丽号升至9星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 9 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至9星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 9 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至9星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 9 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至9星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 9 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至9星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 9 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至9星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 9 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你黄金梅丽号升至10星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 10 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至10星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 10 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至10星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 10 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至10星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 10 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你九蛇号升至10星，队伍整体战斗力得到提升！	Congratulations! Your Kuja Ship has upgraded to 10 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你金狮子号升至10星，队伍整体战斗力得到提升！	Congratulations! Your Golden Lion Ship has upgraded to 10 Stars successfully and the Battle Power of your whole team has boosted greatly!
